As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,FS-CO,TF071137,Multi Donor Trust Fund for Burundi: Co-financing of the Second Economic Reform Support Grant,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$20000000.00,$0.00,$20000000.00,LCLS
09/12/2012,FS-CO,TF071137,Multi Donor Trust Fund for Burundi: Co-financing of the Second Economic Reform Support Grant,NO,Norway,Norway - Ministry of Foreign Affairs,2009,$14483307.99,$0.00,$14483307.99,LCLS
09/12/2012,ESMAP,TF070743,Multi Donor Trust Fund for Clean Energy Investment Framework,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$289030.00,$0.00,$289030.00,ACTN
09/12/2012,ESMAP,TF070743,Multi Donor Trust Fund for Clean Energy Investment Framework,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$31983000.00,$0.00,$31983000.00,ACTN
09/12/2012,FS-CO,TF071185,Multi Donor Trust Fund for Co-financing of the Ethiopia Protection of Basic Services Program (Phase II) Project (Health MDG Support Facility - Subprogram B),IT,Italy,Italy - Ministry of Foreign Affairs,2009,$10739250.00,$0.00,$10739250.00,ACTN
09/12/2012,FS-CO,TF071185,Multi Donor Trust Fund for Co-financing of the Ethiopia Protection of Basic Services Program (Phase II) Project (Health MDG Support Facility - Subprogram B),NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$12000000.00,$0.00,$12000000.00,ACTN
09/12/2012,FS-AFR,TF071189,Multi Donor Trust Fund for Co-financing of the General Education Quality Improvement Project in Ethiopia,FI,Finland,Finland - Ministry for Foreign Affairs,2009,$19519060.00,$0.00,$19519060.00,ACTN
09/12/2012,FS-AFR,TF071189,Multi Donor Trust Fund for Co-financing of the General Education Quality Improvement Project in Ethiopia,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$26484353.51,$0.00,$26484353.51,ACTN
09/12/2012,FS-AFR,TF071189,Multi Donor Trust Fund for Co-financing of the General Education Quality Improvement Project in Ethiopia,IT,Italy,Italy - Ministry of Foreign Affairs,2009,$16348634.29,$4967609.22,$21316243.51,ACTN
09/12/2012,FS-AFR,TF071189,Multi Donor Trust Fund for Co-financing of the General Education Quality Improvement Project in Ethiopia,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$27071560.00,$0.00,$27071560.00,ACTN
09/12/2012,VN-FS,TF071163,"Multi Donor Trust Fund for co-financing the Sixth, Seventh, Eighth, Ninth and Tenth Poverty Reduction Support Operations PRSCs 6-10",AU,Australia,Australian Agency for International Development (AusAID),2009,$11485500.00,$0.00,$11485500.00,ACTN
09/12/2012,VN-FS,TF071163,"Multi Donor Trust Fund for co-financing the Sixth, Seventh, Eighth, Ninth and Tenth Poverty Reduction Support Operations PRSCs 6-10",CA,Canada,Canadian International Development  Agency (CIDA),2009,$10934574.78,$0.00,$10934574.78,ACTN
09/12/2012,VN-FS,TF071163,"Multi Donor Trust Fund for co-financing the Sixth, Seventh, Eighth, Ninth and Tenth Poverty Reduction Support Operations PRSCs 6-10",IE,Ireland,Ireland - Minister for Foreign Affairs/ Irish Aid,2009,$9474750.00,$0.00,$9474750.00,ACTN
